date,scientist,rep,primary,primary_dose,secondary,secondary_dose,condition,vial,day,hour,status
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,3,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,3,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,3,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,3,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,3,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,3,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,3,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,3,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,4,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,4,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,4,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,4,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,4,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,4,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,4,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,4,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,4,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,4,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,5,1,24,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,5,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,5,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,5,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,5,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,5,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,5,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,5,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.001,P.snee,0.01,S.m 0.001,5,1.916666667,46,0
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,6,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,6,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,6,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,6,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,6,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,6,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,6,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,6,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,6,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,6,1.666666667,40,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,7,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,7,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,7,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,7,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,7,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,7,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,7,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,7,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,7,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,7,1.666666667,40,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,8,0.833333333,20,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,8,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,8,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,8,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,8,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,8,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,8,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,8,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,8,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,8,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,9,0.833333333,20,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,9,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,9,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,9,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,9,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,9,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,9,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,9,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,9,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,9,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,10,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,10,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,10,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,10,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,10,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,10,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,10,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.01,P.snee,0.01,S.m 0.01,10,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,11,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,11,1.416666667,34,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,11,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,11,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,11,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,11,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,11,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,11,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,11,1.666666667,40,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,11,1.75,42,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,12,0.916666667,22,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,12,1.083333333,26,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,12,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,12,1.25,30,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,12,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,12,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,12,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,12,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,12,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,12,1.75,42,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,13,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,13,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,13,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,13,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,13,1.333333333,32,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,13,1.5,36,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,13,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,13,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,13,1.583333333,38,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,13,1.833333333,44,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,14,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,14,1.166666667,28,1
3/10/2021,Abby,Spring 2021 exp 1,S.m,0.1,P.snee,0.01,S.m 0.1,14,1.166666667,28,1
