date,replicate,scientist,primary,secondary_dose,time,load
7/19/2018,VIII,Frank,01_PBS,0.001,10,3440
7/19/2018,VIII,Frank,01_PBS,0.001,10,1060
7/19/2018,VIII,Frank,01_PBS,0.001,10,1900
7/19/2018,VIII,Frank,01_PBS,0.01,0,296
7/19/2018,VIII,Frank,01_PBS,0.01,0,224
7/19/2018,VIII,Frank,01_PBS,0.01,0,248
7/19/2018,VIII,Frank,01_PBS,0.01,0,202
7/19/2018,VIII,Frank,01_PBS,0.01,10,18000
7/19/2018,VIII,Frank,01_PBS,0.01,10,21800
7/19/2018,VIII,Frank,01_PBS,0.01,10,24000
7/19/2018,VIII,Frank,01_PBS,0.01,10,16600
7/19/2018,VIII,Frank,01_PBS,0.1,0,3431
7/19/2018,VIII,Frank,01_PBS,0.1,0,2311
7/19/2018,VIII,Frank,01_PBS,0.1,0,1641
7/19/2018,VIII,Frank,01_PBS,0.1,0,2727
7/19/2018,VIII,Frank,01_PBS,0.1,10,160000
7/19/2018,VIII,Frank,01_PBS,0.1,10,262000
7/19/2018,VIII,Frank,01_PBS,0.1,10,182000
7/19/2018,VIII,Frank,01_PBS,0.1,10,150000
7/19/2018,VIII,Frank,01_PBS,1,0,11667
7/19/2018,VIII,Frank,01_PBS,1,0,8759
7/19/2018,VIII,Frank,01_PBS,1,0,12037
7/19/2018,VIII,Frank,01_PBS,1,0,7963
7/19/2018,VIII,Frank,01_PBS,1,10,2350000
7/19/2018,VIII,Frank,01_PBS,1,10,2770000
7/19/2018,VIII,Frank,01_PBS,1,10,1890000
7/19/2018,VIII,Frank,01_PBS,1,10,1740000
7/19/2018,VIII,Frank,02_Efae,0.001,0,34
7/19/2018,VIII,Frank,02_Efae,0.001,0,38
7/19/2018,VIII,Frank,02_Efae,0.001,0,28
7/19/2018,VIII,Frank,02_Efae,0.001,0,30
7/19/2018,VIII,Frank,02_Efae,0.001,10,1000
7/19/2018,VIII,Frank,02_Efae,0.001,10,2680
7/19/2018,VIII,Frank,02_Efae,0.001,10,2160
7/19/2018,VIII,Frank,02_Efae,0.001,10,4800
7/19/2018,VIII,Frank,02_Efae,0.01,0,296
7/19/2018,VIII,Frank,02_Efae,0.01,0,224
7/19/2018,VIII,Frank,02_Efae,0.01,0,248
7/19/2018,VIII,Frank,02_Efae,0.01,0,202
7/19/2018,VIII,Frank,02_Efae,0.01,10,12400
7/19/2018,VIII,Frank,02_Efae,0.01,10,7400
7/19/2018,VIII,Frank,02_Efae,0.01,10,16000
7/19/2018,VIII,Frank,02_Efae,0.01,10,9600
7/19/2018,VIII,Frank,02_Efae,0.1,0,3431
7/19/2018,VIII,Frank,02_Efae,0.1,0,2311
7/19/2018,VIII,Frank,02_Efae,0.1,0,1641
7/19/2018,VIII,Frank,02_Efae,0.1,0,2727
7/19/2018,VIII,Frank,02_Efae,0.1,10,134000
7/19/2018,VIII,Frank,02_Efae,0.1,10,124000
7/19/2018,VIII,Frank,02_Efae,0.1,10,766000
7/19/2018,VIII,Frank,02_Efae,0.1,10,56000
7/19/2018,VIII,Frank,02_Efae,1,0,11667
7/19/2018,VIII,Frank,02_Efae,1,0,8759
7/19/2018,VIII,Frank,02_Efae,1,0,12037
7/19/2018,VIII,Frank,02_Efae,1,10,2230000
7/19/2018,VIII,Frank,02_Efae,1,10,2540000
7/19/2018,VIII,Frank,02_Efae,1,10,2650000
6/3/2019,I,Abby,01_PBS,0.001,0,40
6/3/2019,I,Abby,01_PBS,0.001,10,8000
6/3/2019,I,Abby,01_PBS,0.001,10,22000
6/3/2019,I,Abby,01_PBS,0.001,10,182000
6/3/2019,I,Abby,01_PBS,0.001,10,54000
6/3/2019,I,Abby,01_PBS,0.001,10,112000
6/3/2019,I,Abby,01_PBS,0.001,10,12000
6/3/2019,I,Abby,01_PBS,0.01,0,216
6/3/2019,I,Abby,01_PBS,0.01,10,24000
6/3/2019,I,Abby,01_PBS,0.01,10,322000
6/3/2019,I,Abby,01_PBS,0.01,10,118000
6/3/2019,I,Abby,01_PBS,0.01,10,168000
6/3/2019,I,Abby,01_PBS,0.1,0,2083
6/3/2019,I,Abby,01_PBS,0.1,10,322000
6/3/2019,I,Abby,01_PBS,0.1,10,706000
6/3/2019,I,Abby,01_PBS,0.1,10,880000
6/3/2019,I,Abby,01_PBS,0.1,10,546000
6/3/2019,I,Abby,01_PBS,0.1,10,1028000
6/3/2019,I,Abby,01_PBS,0.1,10,1050000
6/3/2019,I,Abby,01_PBS,1,0,6851
6/3/2019,I,Abby,01_PBS,1,10,4963000
6/3/2019,I,Abby,01_PBS,1,10,5912000
6/3/2019,I,Abby,01_PBS,1,10,4890000
6/3/2019,I,Abby,01_PBS,1,10,6058000
6/3/2019,I,Abby,01_PBS,1,10,8888000
6/3/2019,I,Abby,02_Efae,0.001,0,46
6/3/2019,I,Abby,02_Efae,0.001,10,46000
6/3/2019,I,Abby,02_Efae,0.001,10,194000
6/3/2019,I,Abby,02_Efae,0.001,10,40000
6/3/2019,I,Abby,02_Efae,0.01,0,228
6/3/2019,I,Abby,02_Efae,0.01,10,52000
6/3/2019,I,Abby,02_Efae,0.01,10,200000
6/3/2019,I,Abby,02_Efae,0.01,10,106000
6/3/2019,I,Abby,02_Efae,0.01,10,48000
6/3/2019,I,Abby,02_Efae,0.1,0,1818
6/3/2019,I,Abby,02_Efae,0.1,10,392000
6/3/2019,I,Abby,02_Efae,0.1,10,98000
6/3/2019,I,Abby,02_Efae,0.1,10,108000
6/3/2019,I,Abby,02_Efae,1,0,8518
6/3/2019,I,Abby,02_Efae,1,10,4744000
6/3/2019,I,Abby,02_Efae,1,10,880000
6/3/2019,I,Abby,02_Efae,1,10,3371000
6/5/2019,II,Abby,01_PBS,0.001,0,62
6/5/2019,II,Abby,01_PBS,0.001,10,30000
6/5/2019,II,Abby,01_PBS,0.001,10,86000
6/5/2019,II,Abby,01_PBS,0.001,10,16000
6/5/2019,II,Abby,01_PBS,0.001,10,14000
6/5/2019,II,Abby,01_PBS,0.001,10,10000
6/5/2019,II,Abby,01_PBS,0.01,0,226
6/5/2019,II,Abby,01_PBS,0.01,10,52000
6/5/2019,II,Abby,01_PBS,0.01,10,144000
6/5/2019,II,Abby,01_PBS,0.01,10,140000
6/5/2019,II,Abby,01_PBS,0.01,10,160000
6/5/2019,II,Abby,01_PBS,0.01,10,54000
6/5/2019,II,Abby,01_PBS,0.01,10,14000
6/5/2019,II,Abby,01_PBS,0.1,0,1666
6/5/2019,II,Abby,01_PBS,0.1,10,238000
6/5/2019,II,Abby,01_PBS,0.1,10,746000
6/5/2019,II,Abby,01_PBS,0.1,10,744000
6/5/2019,II,Abby,01_PBS,0.1,10,720000
6/5/2019,II,Abby,01_PBS,0.1,10,1401000
6/5/2019,II,Abby,01_PBS,0.1,10,653000
6/5/2019,II,Abby,01_PBS,1,0,9444
6/5/2019,II,Abby,01_PBS,1,10,5547000
6/5/2019,II,Abby,01_PBS,1,10,800000
6/5/2019,II,Abby,01_PBS,1,10,2846000
6/5/2019,II,Abby,01_PBS,1,10,760000
6/5/2019,II,Abby,01_PBS,1,10,4160000
6/5/2019,II,Abby,01_PBS,1,10,4233000
6/5/2019,II,Abby,02_Efae,0.001,0,62
6/5/2019,II,Abby,02_Efae,0.001,10,6000
6/5/2019,II,Abby,02_Efae,0.001,10,14000
6/5/2019,II,Abby,02_Efae,0.001,10,12000
6/5/2019,II,Abby,02_Efae,0.001,10,20000
6/5/2019,II,Abby,02_Efae,0.001,10,16000
6/5/2019,II,Abby,02_Efae,0.01,0,266
6/5/2019,II,Abby,02_Efae,0.01,10,100000
6/5/2019,II,Abby,02_Efae,0.01,10,304000
6/5/2019,II,Abby,02_Efae,0.01,10,24000
6/5/2019,II,Abby,02_Efae,0.01,10,34000
6/5/2019,II,Abby,02_Efae,0.01,10,102000
