,date,scientist,rep,primary,secondary_dose,vial,day,status
164,8/6/2018,Frank,13,S.m,0.01,24,2,1
165,8/6/2018,Frank,13,S.m,0.01,24,2,1
166,8/6/2018,Frank,13,S.m,0.01,24,3,1
167,8/6/2018,Frank,13,S.m,0.01,24,3,0
168,8/6/2018,Frank,13,S.m,0.01,24,3,0
169,8/6/2018,Frank,13,S.m,0.01,24,3,0
170,8/6/2018,Frank,13,S.m,0.01,24,3,0
171,8/6/2018,Frank,13,S.m,0.01,24,3,0
172,8/6/2018,Frank,13,S.m,0.01,25,1,1
173,8/6/2018,Frank,13,S.m,0.01,25,2,1
174,8/6/2018,Frank,13,S.m,0.01,25,2,1
175,8/6/2018,Frank,13,S.m,0.01,25,3,1
176,8/6/2018,Frank,13,S.m,0.01,25,3,0
177,8/6/2018,Frank,13,S.m,0.01,25,3,0
178,8/6/2018,Frank,13,S.m,0.01,25,3,0
179,8/6/2018,Frank,13,S.m,0.01,25,3,0
180,8/6/2018,Frank,13,S.m,0.01,25,3,0
181,8/6/2018,Frank,13,S.m,0.1,26,2,1
182,8/6/2018,Frank,13,S.m,0.1,26,3,0
183,8/6/2018,Frank,13,S.m,0.1,26,3,0
184,8/6/2018,Frank,13,S.m,0.1,26,3,0
185,8/6/2018,Frank,13,S.m,0.1,26,3,0
186,8/6/2018,Frank,13,S.m,0.1,26,3,0
187,8/6/2018,Frank,13,S.m,0.1,26,3,0
188,8/6/2018,Frank,13,S.m,0.1,27,1,1
189,8/6/2018,Frank,13,S.m,0.1,27,2,1
190,8/6/2018,Frank,13,S.m,0.1,27,3,1
191,8/6/2018,Frank,13,S.m,0.1,27,3,0
192,8/6/2018,Frank,13,S.m,0.1,27,3,0
193,8/6/2018,Frank,13,S.m,0.1,27,3,0
194,8/6/2018,Frank,13,S.m,0.1,27,3,0
195,8/6/2018,Frank,13,S.m,0.1,28,1,1
196,8/6/2018,Frank,13,S.m,0.1,28,2,1
197,8/6/2018,Frank,13,S.m,0.1,28,3,1
198,8/6/2018,Frank,13,S.m,0.1,28,3,1
199,8/6/2018,Frank,13,S.m,0.1,28,3,0
200,8/6/2018,Frank,13,S.m,0.1,28,3,0
201,8/6/2018,Frank,13,S.m,0.1,28,3,0
202,8/6/2018,Frank,13,S.m,0.1,28,3,0
203,8/6/2018,Frank,13,S.m,0.1,28,3,0
204,8/6/2018,Frank,13,S.m,1,30,1,1
205,8/6/2018,Frank,13,S.m,1,30,1,1
206,8/6/2018,Frank,13,S.m,1,30,1,1
207,8/6/2018,Frank,13,S.m,1,30,3,0
208,8/6/2018,Frank,13,S.m,1,30,3,0
209,8/6/2018,Frank,13,S.m,1,30,3,0
210,8/6/2018,Frank,13,S.m,1,33,1,1
211,8/6/2018,Frank,13,S.m,1,33,1,1
212,8/6/2018,Frank,13,S.m,1,33,1,1
213,8/6/2018,Frank,13,S.m,1,33,1,1
214,8/6/2018,Frank,13,S.m,1,33,1,1
215,8/6/2018,Frank,13,S.m,1,33,2,1
216,8/6/2018,Frank,13,S.m,1,33,2,1
217,8/6/2018,Frank,13,S.m,1,33,3,0
218,8/6/2018,Frank,13,S.m,1,33,3,0
219,6/14/2019,Abby,I,PBS,0.01,1,1,1
220,6/14/2019,Abby,I,PBS,0.01,1,7,1
221,6/14/2019,Abby,I,PBS,0.01,1,7,0
222,6/14/2019,Abby,I,PBS,0.01,1,7,0
223,6/14/2019,Abby,I,PBS,0.01,1,7,0
224,6/14/2019,Abby,I,PBS,0.01,2,1,1
225,6/14/2019,Abby,I,PBS,0.01,2,1,1
226,6/14/2019,Abby,I,PBS,0.01,2,1,1
227,6/14/2019,Abby,I,PBS,0.01,2,7,0
228,6/14/2019,Abby,I,PBS,0.01,2,7,0
229,6/14/2019,Abby,I,PBS,0.01,3,1,1
230,6/14/2019,Abby,I,PBS,0.01,3,1,1
231,6/14/2019,Abby,I,PBS,0.01,3,1,1
232,6/14/2019,Abby,I,PBS,0.01,3,1,1
233,6/14/2019,Abby,I,PBS,0.01,3,7,0
234,6/14/2019,Abby,I,PBS,0.1,4,1,1
235,6/14/2019,Abby,I,PBS,0.1,4,4,1
236,6/14/2019,Abby,I,PBS,0.1,4,7,0
237,6/14/2019,Abby,I,PBS,0.1,4,7,0
238,6/14/2019,Abby,I,PBS,0.1,4,7,0
239,6/14/2019,Abby,I,PBS,0.1,5,1,1
240,6/14/2019,Abby,I,PBS,0.1,5,1,1
241,6/14/2019,Abby,I,PBS,0.1,5,1,1
242,6/14/2019,Abby,I,PBS,0.1,5,7,0
243,6/14/2019,Abby,I,PBS,0.1,6,1,1
244,6/14/2019,Abby,I,PBS,0.1,6,2,1
245,6/14/2019,Abby,I,PBS,0.1,6,7,0
246,6/14/2019,Abby,I,PBS,0.1,6,7,0
247,6/14/2019,Abby,I,PBS,0.1,6,7,0
248,6/14/2019,Abby,I,PBS,1,7,1,1
249,6/14/2019,Abby,I,PBS,1,7,1,1
250,6/14/2019,Abby,I,PBS,1,7,1,1
251,6/14/2019,Abby,I,PBS,1,7,1,1
252,6/14/2019,Abby,I,PBS,1,7,1,1
253,6/14/2019,Abby,I,PBS,1,8,1,1
254,6/14/2019,Abby,I,PBS,1,8,1,1
255,6/14/2019,Abby,I,PBS,1,8,1,1
256,6/14/2019,Abby,I,PBS,1,8,1,1
257,6/14/2019,Abby,I,PBS,1,8,1,1
258,6/14/2019,Abby,I,PBS,1,8,1,1
259,6/14/2019,Abby,I,PBS,1,9,1,1
260,6/14/2019,Abby,I,PBS,1,9,1,1
261,6/14/2019,Abby,I,PBS,1,9,1,1
262,6/14/2019,Abby,I,PBS,1,9,1,1
263,6/14/2019,Abby,I,PBS,1,9,1,1
264,6/14/2019,Abby,I,PBS,1,9,1,1
265,6/14/2019,Abby,I,PBS,2,10,1,1
266,6/14/2019,Abby,I,PBS,2,10,1,1
267,6/14/2019,Abby,I,PBS,2,10,1,1
268,6/14/2019,Abby,I,PBS,2,10,1,1
269,6/14/2019,Abby,I,PBS,2,10,1,1
270,6/14/2019,Abby,I,PBS,2,10,1,1
271,6/14/2019,Abby,I,PBS,2,11,1,1
272,6/14/2019,Abby,I,PBS,2,11,1,1
273,6/14/2019,Abby,I,PBS,2,11,1,1
274,6/14/2019,Abby,I,PBS,2,11,1,1
275,6/14/2019,Abby,I,PBS,2,11,1,1
276,6/14/2019,Abby,I,PBS,2,11,1,1
277,6/14/2019,Abby,I,PBS,2,12,1,1
278,6/14/2019,Abby,I,PBS,2,12,1,1
279,6/14/2019,Abby,I,PBS,2,12,1,1
280,6/14/2019,Abby,I,PBS,2,12,1,1
281,6/14/2019,Abby,I,PBS,2,12,1,1
282,6/14/2019,Abby,I,PBS,2,12,1,1
283,6/14/2019,Abby,I,PBS,2,12,1,1
284,6/14/2019,Abby,I,PBS,2,12,1,1
285,6/14/2019,Abby,I,S.m,0.01,13,1,1
286,6/14/2019,Abby,I,S.m,0.01,13,7,0
287,6/14/2019,Abby,I,S.m,0.01,13,7,0
288,6/14/2019,Abby,I,S.m,0.01,13,7,0
289,6/14/2019,Abby,I,S.m,0.01,13,7,0
290,6/14/2019,Abby,I,S.m,0.01,13,7,0
291,6/14/2019,Abby,I,S.m,0.01,14,1,1
292,6/14/2019,Abby,I,S.m,0.01,14,7,0
293,6/14/2019,Abby,I,S.m,0.01,14,7,0
294,6/14/2019,Abby,I,S.m,0.01,14,7,0
295,6/14/2019,Abby,I,S.m,0.01,14,7,0
296,6/14/2019,Abby,I,S.m,0.01,15,1,1
297,6/14/2019,Abby,I,S.m,0.01,15,7,1
298,6/14/2019,Abby,I,S.m,0.01,15,7,0
299,6/14/2019,Abby,I,S.m,0.01,15,7,0
300,6/14/2019,Abby,I,S.m,0.1,16,7,0
301,6/14/2019,Abby,I,S.m,0.1,16,7,0
302,6/14/2019,Abby,I,S.m,0.1,16,7,0
303,6/14/2019,Abby,I,S.m,0.1,16,7,0
304,6/14/2019,Abby,I,S.m,0.1,16,7,0
305,6/14/2019,Abby,I,S.m,0.1,17,7,0
306,6/14/2019,Abby,I,S.m,0.1,17,7,0
307,6/14/2019,Abby,I,S.m,0.1,17,7,0
308,6/14/2019,Abby,I,S.m,0.1,17,7,0
309,6/14/2019,Abby,I,S.m,0.1,17,7,0
310,6/14/2019,Abby,I,S.m,0.1,17,7,0
311,6/14/2019,Abby,I,S.m,0.1,18,7,0
