date,scientist,rep,primary,secondary,secondary_dose,condition,vial,day,hour,status,alive3,opposite
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,7,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,7,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,7,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,7,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,8,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,8,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,8,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,8,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,8,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,8,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,8,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,8,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,8,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,0.1,3,8,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,10,0.833333,20,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,10,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,10,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,10,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,10,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,10,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,10,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,10,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,10,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,10,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,11,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,11,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,11,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,11,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,11,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,11,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,11,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,11,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,11,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,11,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,12,0.833333,20,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,12,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,12,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,12,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,12,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,PBS,P.snee,1,4,12,0.916667,22,1,FALSE,TRUE
